msgid,msgstr
"# Import Data from Spreadsheet  In ERPNext, you can easily migrate your historical data using spreadsheets. You can use it for migrating not just masters (like Customer, Supplier, Items), but also for transactions like (outstanding invoices, opening stock and accounting entries, etc).","# Importovať údaje zo spreadsheetu  V ERPNext môžete jednoducho migrovať svoje historické údaje pomocou spreadsheetov. Môžete ho použiť na migráciu nielen majstrov (ako Zákazník, Dodávateľ, Položky), ale aj pre transakcie, ako sú (nezaplatené faktúry, úvodný stav zásob a účtovné zápisy, atď.)."
# In Stock,# Na sklade
# Introduction to Stock Entry This video will give a quick introduction to [**Stock Entry**](https://docs.erpnext.com/docs/user/manual/en/stock/stock-entry).,# Úvod do Zadania skladu Toto video poskytne rýchly úvod do [**Zadania skladu**](https://docs.erpnext.com/docs/user/manual/en/stock/stock-entry).
"# Manage Stock Movements Stock entry allows you to register the movement of stock for various purposes like transfer, received, issues, repacked, etc. To address issues related to theft and pilferages,  you can always ensure that the movement of goods happens against a document reference Stock Entry in ERPNext.  Let’s get a quick walk-through on the various scenarios covered in Stock Entry by watching [*this video*](https://www.youtube.com/watch?v=Njt107hlY3I).","# Správa pohybov zásob Pohyb zásob umožňuje zaznamenať pohyb zásob na rôzne účely, ako je presun, prijatie, problémy, prebalenie atď. Na riešenie problémov súvisiacich s krádežou a únikom môžete vždy zabezpečiť, že pohyb tovaru sa uskutoční na základe referencie dokumentu Vstup zásob v systéme ERPNext. Poďme si rýchlo prejsť rôzne scenáre pokryté vo Vstupe zásob sledovaním [*tohto videa*](https://www.youtube.com/watch?v=Njt107hlY3I)."
"# Navigation in ERPNext  Ease of navigating and browsing around the ERPNext is one of our core strengths. In the following video, you will learn how to reach a specific feature in ERPNext via module page or AwesomeBar.","# Navigácia v ERPNext  Jednoduchosť navigácie a prehliadania v ERPNext je jednou z našich hlavných predností. V nasledujúcom videu sa naučíte, ako dosiahnuť konkrétnu funkciu v ERPNext prostredníctvom stránky modulov alebo AwesomeBar."
"# Purchase an Asset  Assets purchases process if done following the standard Purchase cycle. If capital work in progress is enabled in Asset Category, Asset will be created as soon as Purchase Receipt is created for it. You can quickly create a Purchase Receipt for Asset and see its impact on books of accounts.","# Nákup majetku  Proces nákupu majetku sa vykonáva podľa štandardného cyklu nákupu. Ak je v kategórii majetku povolený kapitálový rozvoj, majetok bude vytvorený hneď po vytvorení Príjemky k nákupu. Môžete rýchlo vytvoriť Príjemku k nákupu pre majetok a vidieť jej dopad na účtovníctvo."
# Req'd Items,# Požadované položky
"# Review Manufacturing Settings  In ERPNext, the Manufacturing module’s features are configurable as per your business needs. Manufacturing Settings is the place where you can set your preferences for:  - Capacity planning for allocating jobs to workstations - Raw-material consumption based on BOM or actual - Default values and over-production allowance","# Skontrolujte nastavenia výroby  V ERPNext sú funkcie výrobného modulu konfigurovateľné podľa potrieb vášho podnikania. Nastavenia výroby sú miestom, kde môžete nastaviť vaše preferencie pre:  - Plánovanie kapacít na prideľovanie úloh pracoviskám - Spotreba surovín podľa kusovníka (BOM) alebo skutočnosti - Predvolené hodnoty a povolenie nadprodukcie"
"# Review Stock Settings  In ERPNext, the Stock module’s features are configurable as per your business needs. Stock Settings is the place where you can set your preferences for: - Default values for Item and Pricing - Default valuation method for inventory valuation - Set preference for serialization and batching of item - Set tolerance for over-receipt and delivery of items","# Kontrola nastavení skladu  V ERPNext sú funkcie modulu Sklad konfigurovateľné podľa potrieb vášho podnikania. Nastavenia skladu sú miestom, kde môžete nastaviť svoje preferencie pre: - Predvolené hodnoty pre položky a ceny - Predvolená metóda oceňovania pre oceňovanie zásob - Nastavenie preferencie pre sériové a dávkové spracovanie položiek - Nastavenie tolerancie pre nadmerný príjem a doručenie položiek"
"# Sales Order  A Sales Order is a confirmation of an order from your customer. It is also referred to as Proforma Invoice.  Sales Order at the heart of your sales and purchase transactions. Sales Orders are linked in Delivery Note, Sales Invoices, Material Request, and Maintenance transactions. Through Sales Order, you can track fulfillment of the overall deal towards the customer.","# Objednávka  Objednávka je potvrdenie objednávky od vášho zákazníka. Tiež sa nazýva Proforma faktúra.  Objednávka je základom vašich predajných a nákupných transakcií. Objednávky sú prepojené v doručovacom liste, predajných faktúrach, žiadosti o materiál a údržbových transakciách. Prostredníctvom objednávky môžete sledovať splnenie celkového obchodu voči zákazníkovi."
# Selling Settings  CRM and Selling module’s features are configurable as per your business needs. Selling Settings is the place where you can set your preferences for:  - Customer naming and default values  - Billing and shipping preference in sales transactions,"# Nastavenia Predaja  Funkcie modulov CRM a Predaja sú konfigurovateľné podľa potrieb vášho podnikania. Nastavenia Predaja sú miestom, kde môžete nastaviť svoje preferencie pre:  - Pomenovanie zákazníka a predvolené hodnoty  - Preferencie fakturácie a dodania v predajných transakciách"
"# Set Up a Company  A company is a legal entity for which you will set up your books of account and create accounting transactions. In ERPNext, you can create multiple companies, and establish relationships (group/subsidiary) among them.  Within the company master, you can capture various default accounts for that Company and set crucial settings related to the accounting methodology followed for a company.","# Nastavte spoločnosť  Spoločnosť je právny subjekt, pre ktorý nastavíte svoje účtovné knihy a vytvoríte účtovné transakcie. V ERPNext môžete vytvoriť viacero spoločností a nastaviť vzťahy (skupina/dcérska spoločnosť) medzi nimi.  V rámci hlavnej spoločnosti môžete zaznamenať rôzne predvolené účty pre túto spoločnosť a nastaviť kľúčové nastavenia týkajúce sa účtovnej metodiky, ktorú spoločnosť nasleduje."
# Setting up Taxes  ERPNext lets you configure your taxes so that they are automatically applied in your buying and selling transactions. You can configure them globally or even on Items. ERPNext taxes are pre-configured for most regions.,"# Nastavenie daní  ERPNext vám umožňuje nastaviť dane tak, aby sa automaticky uplatňovali vo vašich nákupných a predajných transakciách. Môžete ich nastaviť globálne alebo dokonca na položky. Dane v ERPNext sú predkonfigurované pre väčšinu regiónov."
"# Setup Routing  A Routing stores all Operations along with the description, hourly rate, operation time, batch size, etc. Click below to learn how the Routing template can be created, for quick selection in the BOM.","# Nastavenie trasovania  Trasovanie ukladá všetky operácie spolu s popisom, hodinovou sadzbou, časom operácie, veľkosťou dávky, atď. Kliknite nižšie, aby ste sa dozvedeli, ako môže byť vytvorená šablóna trasovania, pre rýchly výber v BOM."
"# Setup a Warehouse The warehouse can be your location/godown/store where you maintain the item's inventory, and receive/deliver them to various parties.  In ERPNext, you can maintain a Warehouse in the tree structure, so that location and sub-location of an item can be tracked. Also, you can link a Warehouse to a specific Accounting ledger, where the real-time stock value of that warehouse’s item will be reflected.","# Nastavenie skladu Sklad môže byť vaša lokalita/sklad/obchod, kde udržujete inventár položiek a prijímate/doručujete ich rôznym stranám.  V systéme ERPNext môžete udržiavať sklad v stromovej štruktúre, aby bolo možné sledovať umiestnenie a podradu položky. Taktiež môžete pripojiť sklad k špecifickému účtovnému účtu, kde sa bude odrážať reálna hodnota zásob tohto skladu."
"# Track Material Request   Also known as Purchase Request or an Indent, is a document identifying a requirement of a set of items (products or services) for various purposes like procurement, transfer, issue, or manufacturing. Once the Material Request is validated, a purchase manager can take the next actions for purchasing items like requesting RFQ from a supplier or directly placing an order with an identified Supplier.","# Sledovanie žiadosti o materiál  Tiež známa ako žiadosť o nákup alebo požiadavka, je dokument identifikujúci potrebu sady položiek (produktov alebo služieb) na rôzne účely, ako je obstarávanie, prevod, vydávanie alebo výroba. Po overení žiadosti o materiál môže nákupný manažér podniknúť ďalšie kroky na nákup položiek, ako je žiadosť o cenovú ponuku od dodávateľa alebo priame zadanie objednávky u identifikovaného dodávateľa."
"# Update Stock Opening Balance It’s an entry to update the stock balance of an item, in a warehouse, on a date and time you are going live on ERPNext.  Once opening stocks are updated, you can create transactions like manufacturing and stock deliveries, where this opening stock will be consumed.","# Aktualizácia Otváracej Skladovej Bilancie   Je to záznam na aktualizáciu skladovej bilancie položky, v sklade, k dátumu a času, keď začínate používať ERPNext.    Akonáhle sú počiatočné zásoby aktualizované, môžete vytvárať transakcie ako výroba a dodávka skladu, kde budú tieto počiatočné zásoby spotrebované."
"# Updating Opening Balances  Once you close the financial statement in previous accounting software, you can update the same as opening in your ERPNext's Balance Sheet accounts. This will allow you to get complete financial statements from ERPNext in the coming years, and discontinue the parallel accounting system right away.","# Aktualizácia počiatočných zostatkov  Keď uzavriete účtovnú závierku v predchádzajúcom účtovnom softvéri, môžete ju aktualizovať ako počiatočné v účtoch súvahy vášho ERPNext. To vám umožní získať kompletné účtovné závierky z ERPNext v nasledujúcich rokoch a hneď ukončiť paralelný účtovný systém."
"# View Warehouse In ERPNext the term 'warehouse' can be thought of as a storage location.  Warehouses are arranged in ERPNext in a tree like structure, where multiple sub-warehouses can be grouped under a single warehouse.  In this step we will view the [**Warehouse Tree**](https://docs.erpnext.com/docs/user/manual/en/stock/warehouse#21-tree-view) to view the [**Warehouses**](https://docs.erpnext.com/docs/user/manual/en/stock/warehouse) that are set by default.","# Zobrazenie skladu V ERPNext môže byť pojem 'sklad' považovaný za úložné miesto.  Sklady sú v ERPNext usporiadané v stromovej štruktúre, kde viacero podskladov môže byť zaradených pod jeden sklad.  V tomto kroku si zobrazíme [**stromovú štruktúru skladov**](https://docs.erpnext.com/docs/user/manual/en/stock/warehouse#21-tree-view), aby sme si prezreli [**sklady**](https://docs.erpnext.com/docs/user/manual/en/stock/warehouse), ktoré sú nastavené predvolene."
"## Products and Services  Depending on the nature of your business, you might be selling products or services to your clients or even both.  ERPNext is optimized for itemized management of your sales and purchase.  The **Item Master**  is where you can add all your sales items. If you are in services, you can create an Item for each service that you offer. If you run a manufacturing business, the same master is used for keeping a record of raw materials, sub-assemblies etc.  Completing the Item Master is very essential for the successful implementation of ERPNext. We have a brief video introducing the item master for you, you can watch it in the next step.","## Produkty a služby  V závislosti od povahy vášho podnikania môžete predávať produkty, služby alebo dokonca oboje svojim klientom. ERPNext je optimalizovaný pre položkovú správu vášho predaja a nákupu.  **Hlavný zoznam položiek** je miestom, kde môžete pridať všetky svoje predajné položky. Ak poskytujete služby, môžete vytvoriť položku pre každú službu, ktorú ponúkate. Ak prevádzkujete výrobný podnik, ten istý hlavný zoznam sa používa na vedenie záznamov o surovinách, sub-montážach atď.  Vyplnenie hlavného zoznamu položiek je veľmi dôležité pre úspešnú implementáciu ERPNext. Máme pre vás krátke video, ktoré predstavuje hlavný zoznam položiek, môžete si ho pozrieť v nasledujúcom kroku."
"## Who is a Customer?  A customer, who is sometimes known as a client, buyer, or purchaser is the one who receives goods, services, products, or ideas, from a seller for a monetary consideration.  Every customer needs to be assigned a unique id. Customer name itself can be the id or you can set a naming series for ids to be generated in Selling Settings.  Just like the supplier, let's quickly create a customer.","## Kto je zákazník?  Zákazník, niekedy známy ako klient, kupujúci, alebo odberateľ, je ten, kto od predajcu prijíma tovar, služby, produkty, alebo myšlienky za peňažnú úhradu.  Každému zákazníkovi musí byť priradené jedinečné ID. Meno zákazníka môže byť samo osebe ID, alebo môžete nastaviť sériu názvov pre generovanie ID v Nastavenia predaja.  Rovnako ako dodávateľa, poďme rýchlo vytvoriť zákazníka."
"## Who is a Supplier?  Suppliers are companies or individuals who provide you with products or services. ERPNext has comprehensive features for purchase cycles.   Let's quickly create a supplier with the minimal details required. You need the name of the supplier, assign the supplier to a group, and select the type of the supplier, viz. Company or Individual.","## Kto je dodávateľ?  Dodávatelia sú spoločnosti alebo jednotlivci, ktorí vám poskytujú produkty alebo služby. ERPNext má komplexné funkcie pre nákupné cykly.  Rýchlo vytvorme dodávateľa s minimálnymi potrebnými údajmi. Potrebujete názov dodávateľa, prideliť dodávateľa do skupiny a vybrať typ dodávateľa, napr. Spoločnosť alebo Jednotlivec."
%  Delivered,% Doručené
% Amount Billed,% Suma vyfakturovaná
% Billed,% Fakturované
% Complete Method,% Metóda dokončenia
% Completed,% Dokončené
% Finished Item Quantity,% Množstvo hotového tovaru
% Installed,% Nainštalované
% Occupied,% Obsadené
% Of Grand Total,% Z celkového súčtu
% Ordered,% Objednané
